Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Gene name	Nuc_rep2	Nuc_rep3	Total_rep2	Total_rep3	Q-value
F5GZ90;Q9NZJ0	F5GZ90;Q9NZJ0	Denticleless protein homolog	DTL	>tr|F5GZ90|F5GZ90_HUMAN Denticleless protein homolog OS=Homo sapiens GN=DTL PE=1 SV=1;>sp|Q9NZJ0|DTL_HUMAN Denticleless protein homolog OS=Homo sapiens GN=DTL PE=1 SV=3	DTL	NaN	NaN	NaN	NaN	0
F5GZK9;Q8IZD4-2;Q8IZD4	F5GZK9;Q8IZD4-2;Q8IZD4	mRNA-decapping enzyme 1B	DCP1B	>tr|F5GZK9|F5GZK9_HUMAN mRNA-decapping enzyme 1B OS=Homo sapiens GN=DCP1B PE=1 SV=1;>sp|Q8IZD4-2|DCP1B_HUMAN Isoform 2 of mRNA-decapping enzyme 1B OS=Homo sapiens GN=DCP1B;>sp|Q8IZD4|DCP1B_HUMAN mRNA-decapping enzyme 1B OS=Homo sapiens GN=DCP1B PE=1 SV=2	DCP1B	NaN	NaN	NaN	NaN	0
P08195-3;F5GZS6;P08195;J3KPF3;P08195-4;H0YFS2;F5GZI0;H0YFX4	P08195-3;F5GZS6;P08195;J3KPF3;P08195-4	4F2 cell-surface antigen heavy chain	SLC3A2	>sp|P08195-3|4F2_HUMAN Isoform 3 of 4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2;>tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=1;>sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS	SLC3A2	NaN	NaN	-0.6264018	-0.4805587	0.0002999
F5H008;Q9H267;Q9H267-2;G3V3F9	F5H008;Q9H267;Q9H267-2	Vacuolar protein sorting-associated protein 33B	VPS33B	>tr|F5H008|F5H008_HUMAN Vacuolar protein sorting-associated protein 33B OS=Homo sapiens GN=VPS33B PE=1 SV=1;>sp|Q9H267|VP33B_HUMAN Vacuolar protein sorting-associated protein 33B OS=Homo sapiens GN=VPS33B PE=1 SV=2;>sp|Q9H267-2|VP33B_HUMAN Isoform 2 of Vac	VPS33B	-1.428255	NaN	NaN	0.1493894	0
Q9NQX3;Q9NQX3-2;F5H039;G3V582;H0YJ30;G3V4R0;G3V355;H0YJR5;G3V4D2	Q9NQX3;Q9NQX3-2;F5H039;G3V582	Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase	GPHN	>sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens GN=GPHN PE=1 SV=1;>sp|Q9NQX3-2|GEPH_HUMAN Isoform 2 of Gephyrin OS=Homo sapiens GN=GPHN;>tr|F5H039|F5H039_HUMAN Gephyrin OS=Homo sapiens GN=GPHN PE=1 SV=1;>tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens GN=GP	GPHN	NaN	NaN	-0.1876908	-0.2020739	0
Q9Y4C1;F5H070;F8WE62	Q9Y4C1;F5H070	Lysine-specific demethylase 3A	KDM3A	>sp|Q9Y4C1|KDM3A_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens GN=KDM3A PE=1 SV=4;>tr|F5H070|F5H070_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens GN=KDM3A PE=1 SV=2	KDM3A	NaN	NaN	-0.6555123	-0.6168128	0
F5H0B0;H0YC42;U3KQQ8	F5H0B0;H0YC42		TPD52;MRPS28	>tr|F5H0B0|F5H0B0_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=2;>tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=2	MRPS28;TPD52	0.6123053	0.3621052	-0.04389871	-0.09386367	0
Q9BRP4-2;Q9BRP4;F5H0C4;Q9BRP4-3;F5H103;F5H3I1;F5H3E9;F5H5D4;H0YGB1;F5H0F7	Q9BRP4-2;Q9BRP4;F5H0C4;Q9BRP4-3;F5H103;F5H3I1	Proteasomal ATPase-associated factor 1	PAAF1	>sp|Q9BRP4-2|PAAF1_HUMAN Isoform 2 of Proteasomal ATPase-associated factor 1 OS=Homo sapiens GN=PAAF1;>sp|Q9BRP4|PAAF1_HUMAN Proteasomal ATPase-associated factor 1 OS=Homo sapiens GN=PAAF1 PE=1 SV=2;>tr|F5H0C4|F5H0C4_HUMAN Proteasomal ATPase-associated fac	PAAF1	NaN	NaN	-0.1907997	-0.3216396	0.00030386
F5H0F9;Q9UJX4;Q9UJX4-3;H0YFB5;F5GY68;F5H0N1;Q9UJX4-2;F5H3S5;F5GZ05	F5H0F9;Q9UJX4;Q9UJX4-3	Anaphase-promoting complex subunit 5	ANAPC5	>tr|F5H0F9|F5H0F9_HUMAN Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=1;>sp|Q9UJX4|APC5_HUMAN Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=2;>sp|Q9UJX4-3|APC5_HUMAN Isoform 3 of Anaphase-promoting complex	ANAPC5	-0.04068977	0.01592577	0.3643483	-0.01611806	0
Q8N2M8-3;F5H0Q6;Q8N2M8;Q8N2M8-4;K7EM61	Q8N2M8-3;F5H0Q6;Q8N2M8;Q8N2M8-4	CLK4-associating serine/arginine rich protein	CLASRP	>sp|Q8N2M8-3|CLASR_HUMAN Isoform 2 of CLK4-associating serine/arginine rich protein OS=Homo sapiens GN=CLASRP;>tr|F5H0Q6|F5H0Q6_HUMAN CLK4-associating serine/arginine-rich protein OS=Homo sapiens GN=CLASRP PE=1 SV=2;>sp|Q8N2M8|CLASR_HUMAN CLK4-associating	CLASRP	NaN	NaN	NaN	-0.3626216	0
F5H142;H3BM22;Q6IMN6-4;Q6IMN6-10;Q6IMN6-7;Q6IMN6-3;Q6IMN6-2;Q6IMN6-9;Q6IMN6;Q6IMN6-6	F5H142;H3BM22;Q6IMN6-4;Q6IMN6-10;Q6IMN6-7;Q6IMN6-3;Q6IMN6-2;Q6IMN6-9;Q6IMN6;Q6IMN6-6	Caprin-2	CAPRIN2	>tr|F5H142|F5H142_HUMAN Caprin-2 (Fragment) OS=Homo sapiens GN=CAPRIN2 PE=4 SV=1;>tr|H3BM22|H3BM22_HUMAN Caprin-2 (Fragment) OS=Homo sapiens GN=CAPRIN2 PE=4 SV=1;>sp|Q6IMN6-4|CAPR2_HUMAN Isoform 4 of Caprin-2 OS=Homo sapiens GN=CAPRIN2;>sp|Q6IMN6-10|CAPR2_	CAPRIN2	NaN	NaN	NaN	NaN	0
Q9NYV6-3;F5H148;Q9NYV6;Q9NYV6-2;H3BMT1;A6NIE6;Q9NYV6-4	Q9NYV6-3;F5H148;Q9NYV6;Q9NYV6-2;H3BMT1	RNA polymerase I-specific transcription initiation factor RRN3	RRN3	>sp|Q9NYV6-3|RRN3_HUMAN Isoform 3 of RNA polymerase I-specific transcription initiation factor RRN3 OS=Homo sapiens GN=RRN3;>tr|F5H148|F5H148_HUMAN RNA polymerase I-specific transcription initiation factor RRN3 OS=Homo sapiens GN=RRN3 PE=1 SV=1;>sp|Q9NYV6|	RRN3	0.2555611	NaN	NaN	NaN	0
F5H1B1;F5H630;P51523	F5H1B1;F5H630;P51523	Zinc finger protein 84	ZNF84	>tr|F5H1B1|F5H1B1_HUMAN Zinc finger protein 84 (Fragment) OS=Homo sapiens GN=ZNF84 PE=1 SV=1;>tr|F5H630|F5H630_HUMAN Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=1;>sp|P51523|ZNF84_HUMAN Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=2	ZNF84	NaN	NaN	NaN	NaN	0
F5H1D6;Q07864;F5H7E4	F5H1D6;Q07864;F5H7E4	DNA polymerase;DNA polymerase epsilon catalytic subunit A	POLE	>tr|F5H1D6|F5H1D6_HUMAN DNA polymerase OS=Homo sapiens GN=POLE PE=1 SV=1;>sp|Q07864|DPOE1_HUMAN DNA polymerase epsilon catalytic subunit A OS=Homo sapiens GN=POLE PE=1 SV=5;>tr|F5H7E4|F5H7E4_HUMAN DNA polymerase epsilon catalytic subunit A OS=Homo sapiens	POLE	0.7232527	0.03913844	NaN	NaN	0
P29375;F5H1F7;P29375-2;E7EV89;F5H322;F5GZR8;H7BZF9	P29375;F5H1F7;P29375-2	Lysine-specific demethylase 5A	KDM5A	>sp|P29375|KDM5A_HUMAN Lysine-specific demethylase 5A OS=Homo sapiens GN=KDM5A PE=1 SV=3;>tr|F5H1F7|F5H1F7_HUMAN Lysine-specific demethylase 5A OS=Homo sapiens GN=KDM5A PE=1 SV=2;>sp|P29375-2|KDM5A_HUMAN Isoform 2 of Lysine-specific demethylase 5A OS=Homo	KDM5A	0.115566	0.1538053	0.9108094	NaN	0
F5H1K3;Q86TN4-2;Q86TN4;Q86TN4-4	F5H1K3;Q86TN4-2;Q86TN4;Q86TN4-4	tRNA 2-phosphotransferase 1	TRPT1	>tr|F5H1K3|F5H1K3_HUMAN tRNA 2-phosphotransferase 1 OS=Homo sapiens GN=TRPT1 PE=1 SV=1;>sp|Q86TN4-2|TRPT1_HUMAN Isoform 2 of tRNA 2-phosphotransferase 1 OS=Homo sapiens GN=TRPT1;>sp|Q86TN4|TRPT1_HUMAN tRNA 2-phosphotransferase 1 OS=Homo sapiens GN=TRPT1	TRPT1	NaN	NaN	NaN	NaN	0
Q96MG8-2;F5H1M8;Q96MG8	Q96MG8-2;F5H1M8;Q96MG8	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	PCMTD1	>sp|Q96MG8-2|PCMD1_HUMAN Isoform 2 of Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=PCMTD1;>tr|F5H1M8|F5H1M8_HUMAN Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=PCMTD1	PCMTD1	NaN	NaN	NaN	NaN	0.001952
F5H1S9;Q9Y606-2;Q9Y606;G8JLB3;F5H168;F5GY32;F8W9U5;F5H1B2;F5GXL3	F5H1S9;Q9Y606-2;Q9Y606;G8JLB3	"tRNA pseudouridine synthase;tRNA pseudouridine synthase A, mitochondrial"	PUS1	">tr|F5H1S9|F5H1S9_HUMAN tRNA pseudouridine synthase OS=Homo sapiens GN=PUS1 PE=1 SV=1;>sp|Q9Y606-2|TRUA_HUMAN Isoform 2 of tRNA pseudouridine synthase A, mitochondrial OS=Homo sapiens GN=PUS1;>sp|Q9Y606|TRUA_HUMAN tRNA pseudouridine synthase A, mitochondri"	PUS1	NaN	NaN	-0.3005195	-0.03188713	0
O75970-5;O75970-3;O75970-2;O75970;F5H1U9;H0YGQ3;B7ZB24;F5H8D6;F8WDQ8;A0A075B6R8	O75970-5;O75970-3;O75970-2;O75970;F5H1U9;H0YGQ3	Multiple PDZ domain protein	MPDZ	>sp|O75970-5|MPDZ_HUMAN Isoform 4 of Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ;>sp|O75970-3|MPDZ_HUMAN Isoform 3 of Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ;>sp|O75970-2|MPDZ_HUMAN Isoform 2 of Multiple PDZ domain protein OS=Homo sapie	MPDZ	NaN	NaN	NaN	NaN	0
F5H212;P15822;P15822-2;P15822-3	F5H212;P15822	Zinc finger protein 40	HIVEP1	>tr|F5H212|F5H212_HUMAN Zinc finger protein 40 OS=Homo sapiens GN=HIVEP1 PE=1 SV=2;>sp|P15822|ZEP1_HUMAN Zinc finger protein 40 OS=Homo sapiens GN=HIVEP1 PE=1 SV=3	HIVEP1	NaN	NaN	NaN	NaN	0
Q9Y485;F5H269;E7EMZ0	Q9Y485;F5H269	DmX-like protein 1	DMXL1	>sp|Q9Y485|DMXL1_HUMAN DmX-like protein 1 OS=Homo sapiens GN=DMXL1 PE=1 SV=3;>tr|F5H269|F5H269_HUMAN DmX-like protein 1 OS=Homo sapiens GN=DMXL1 PE=1 SV=1	DMXL1	NaN	NaN	NaN	NaN	0
F5H2A4;F5H2U8;P52926;P52926-3;P52926-6;P52926-4;P52926-5;F5H6H0	F5H2A4;F5H2U8;P52926	High mobility group protein HMGI-C	HMGA2	>tr|F5H2A4|F5H2A4_HUMAN High mobility group protein HMGI-C OS=Homo sapiens GN=HMGA2 PE=1 SV=1;>tr|F5H2U8|F5H2U8_HUMAN High mobility group protein HMGI-C OS=Homo sapiens GN=HMGA2 PE=1 SV=1;>sp|P52926|HMGA2_HUMAN High mobility group protein HMGI-C OS=Homo sa	HMGA2	-0.1421941	0.1921942	-0.093448	-0.08939011	0
F5H2F4;V9GYY3;V9GY75	F5H2F4		MTHFD1	">tr|F5H2F4|F5H2F4_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=1"	MTHFD1	NaN	NaN	0.06942715	0.09707135	0.00044202
F5H2T3;F8WDQ6;F5H3R3;P60006;F5H6E4;P60006-2;G5EA39;F5GXB9	F5H2T3;F8WDQ6;F5H3R3;P60006;F5H6E4;P60006-2;G5EA39;F5GXB9	Anaphase-promoting complex subunit 15	ANAPC15	>tr|F5H2T3|F5H2T3_HUMAN Anaphase-promoting complex subunit 15 (Fragment) OS=Homo sapiens GN=ANAPC15 PE=4 SV=1;>tr|F8WDQ6|F8WDQ6_HUMAN Anaphase-promoting complex subunit 15 (Fragment) OS=Homo sapiens GN=ANAPC15 PE=4 SV=1;>tr|F5H3R3|F5H3R3_HUMAN Anaphase-pro	ANAPC15	NaN	NaN	NaN	NaN	0
Q9ULV3-5;H0Y5D5;Q9ULV3-2;Q9ULV3;F5H2X7;Q5SYW2;Q9ULV3-3;Q9ULV3-4;Q96KB7	Q9ULV3-5;H0Y5D5;Q9ULV3-2;Q9ULV3;F5H2X7;Q5SYW2;Q9ULV3-3;Q9ULV3-4;Q96KB7	Cip1-interacting zinc finger protein	CIZ1	>sp|Q9ULV3-5|CIZ1_HUMAN Isoform 5 of Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1;>tr|H0Y5D5|H0Y5D5_HUMAN Cip1-interacting zinc finger protein (Fragment) OS=Homo sapiens GN=CIZ1 PE=1 SV=1;>sp|Q9ULV3-2|CIZ1_HUMAN Isoform 2 of Cip1-interactin	CIZ1	0.05644473	0.1992483	NaN	NaN	0
F5H345;P08397-2;P08397;P08397-4;P08397-3;F5GY90;F5H226;F5H0P4;F5H4W5;F5H4X2	F5H345;P08397-2;P08397;P08397-4;P08397-3;F5GY90;F5H226	Porphobilinogen deaminase	HMBS	>tr|F5H345|F5H345_HUMAN Porphobilinogen deaminase OS=Homo sapiens GN=HMBS PE=1 SV=1;>sp|P08397-2|HEM3_HUMAN Isoform 2 of Porphobilinogen deaminase OS=Homo sapiens GN=HMBS;>sp|P08397|HEM3_HUMAN Porphobilinogen deaminase OS=Homo sapiens GN=HMBS PE=1 SV=2;>sp	HMBS	-0.1200277	-0.2662812	-0.1904703	-0.1688686	0
F5H365;Q15436;Q15436-2;G3V4V1;G3V1W4;G3V3G5;G3V2R6;G3V5X8;G3V4Q2;G3V5K1	F5H365;Q15436;Q15436-2	Protein transport protein Sec23A	SEC23A	>tr|F5H365|F5H365_HUMAN Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=1;>sp|Q15436|SC23A_HUMAN Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=2;>sp|Q15436-2|SC23A_HUMAN Isoform 2 of Protein transport protein Sec23A	SEC23A	-0.6533324	-0.2430451	-0.1241728	0.06143053	0
Q9BRY0;F5H385	Q9BRY0;F5H385	Zinc transporter ZIP3	SLC39A3	>sp|Q9BRY0|S39A3_HUMAN Zinc transporter ZIP3 OS=Homo sapiens GN=SLC39A3 PE=1 SV=2;>tr|F5H385|F5H385_HUMAN Zinc transporter ZIP3 OS=Homo sapiens GN=SLC39A3 PE=1 SV=1	SLC39A3	NaN	NaN	NaN	NaN	0
F5H3G9;F5H4N6;Q9Y3R0-3;Q9Y3R0-2;Q9Y3R0	F5H3G9;F5H4N6;Q9Y3R0-3;Q9Y3R0-2;Q9Y3R0	Glutamate receptor-interacting protein 1	GRIP1	>tr|F5H3G9|F5H3G9_HUMAN Glutamate receptor-interacting protein 1 (Fragment) OS=Homo sapiens GN=GRIP1 PE=4 SV=3;>tr|F5H4N6|F5H4N6_HUMAN Glutamate receptor-interacting protein 1 (Fragment) OS=Homo sapiens GN=GRIP1 PE=4 SV=1;>sp|Q9Y3R0-3|GRIP1_HUMAN Isoform 3	GRIP1	NaN	NaN	NaN	NaN	0.00030793
Q6DN12-6;F5H415;Q6DN12-2;Q6DN12	Q6DN12-6;F5H415;Q6DN12-2;Q6DN12	Multiple C2 and transmembrane domain-containing protein 2	MCTP2	>sp|Q6DN12-6|MCTP2_HUMAN Isoform 5 of Multiple C2 and transmembrane domain-containing protein 2 OS=Homo sapiens GN=MCTP2;>tr|F5H415|F5H415_HUMAN Multiple C2 and transmembrane domain-containing protein 2 OS=Homo sapiens GN=MCTP2 PE=1 SV=1;>sp|Q6DN12-2|MCTP2	MCTP2	NaN	NaN	NaN	NaN	0
I3L3M4;K7EP40;K7EL87;F5H496;O95471-2;I3L3X1;O95471	I3L3M4;K7EP40;K7EL87;F5H496;O95471-2;I3L3X1;O95471	Claudin-7	CLDN7	>tr|I3L3M4|I3L3M4_HUMAN Claudin OS=Homo sapiens PE=3 SV=1;>tr|K7EP40|K7EP40_HUMAN Claudin (Fragment) OS=Homo sapiens GN=CLDN7 PE=3 SV=1;>tr|K7EL87|K7EL87_HUMAN Claudin OS=Homo sapiens GN=CLDN7 PE=3 SV=1;>tr|F5H496|F5H496_HUMAN Claudin OS=Homo sapiens GN=CL	CLDN7	0.2723816	0.5657921	-0.223559	-0.08945151	0
F5H4E5;Q5HYC2-2;Q5HYC2	F5H4E5;Q5HYC2-2;Q5HYC2	Uncharacterized protein KIAA2026	KIAA2026	>tr|F5H4E5|F5H4E5_HUMAN Uncharacterized protein KIAA2026 (Fragment) OS=Homo sapiens GN=KIAA2026 PE=4 SV=1;>sp|Q5HYC2-2|K2026_HUMAN Isoform 2 of Uncharacterized protein KIAA2026 OS=Homo sapiens GN=KIAA2026;>sp|Q5HYC2|K2026_HUMAN Uncharacterized protein KIAA	KIAA2026	NaN	NaN	NaN	NaN	0.0034383
F5H4R1;J3KNB8;Q9Y6R4-2;F5H538;Q9Y6R4;F5H1X6	F5H4R1;J3KNB8;Q9Y6R4-2;F5H538;Q9Y6R4;F5H1X6	Mitogen-activated protein kinase kinase kinase 4	MAP3K4	>tr|F5H4R1|F5H4R1_HUMAN Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=1 SV=1;>tr|J3KNB8|J3KNB8_HUMAN Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=1 SV=1;>sp|Q9Y6R4-2|M3K4_HUMAN Isoform 2 of M	MAP3K4	0.8497591	0.6954594	-0.1885947	NaN	0
F8VY35;P55209-2;F5H4R6;P55209;F8VUX1;F8W0J6;F8W020;F8VXI6;F8VV59;F8W118;B3KV44;B7Z9C2;H0YH88;H0YHC3;F8VVB5;F8VRJ2;B7Z4K9	F8VY35;P55209-2;F5H4R6;P55209;F8VUX1;F8W0J6;F8W020;F8VXI6;F8VV59;F8W118;B3KV44;B7Z9C2;H0YH88;H0YHC3;F8VVB5	Nucleosome assembly protein 1-like 1	NAP1L1	>tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=1 SV=1;>sp|P55209-2|NP1L1_HUMAN Isoform 2 of Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1;>tr|F5H4R6|F5H4R6_HUMAN Nucleosome assembly pro	NAP1L1	-0.3641249	-0.1663083	-0.07346918	-0.04407717	0
F5H523;Q9P2K6	F5H523;Q9P2K6	Kelch-like protein 42	KLHL42	>tr|F5H523|F5H523_HUMAN Kelch-like protein 42 OS=Homo sapiens GN=KLHL42 PE=1 SV=1;>sp|Q9P2K6|KLH42_HUMAN Kelch-like protein 42 OS=Homo sapiens GN=KLHL42 PE=1 SV=2	KLHL42	NaN	NaN	NaN	NaN	0.0070157
Q76I76;F5H527;J3KSQ9;K7EKN7;K7EP00;Q76I76-3;Q76I76-4	Q76I76;F5H527	Protein phosphatase Slingshot homolog 2	SSH2	>sp|Q76I76|SSH2_HUMAN Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=1 SV=1;>tr|F5H527|F5H527_HUMAN Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=1 SV=1	SSH2	NaN	NaN	NaN	NaN	0
F5H5A3;Q8IVH8-3;Q8IVH8-2;Q8IVH8	F5H5A3;Q8IVH8-3;Q8IVH8-2;Q8IVH8	Mitogen-activated protein kinase kinase kinase kinase;Mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	>tr|F5H5A3|F5H5A3_HUMAN Mitogen-activated protein kinase kinase kinase kinase OS=Homo sapiens GN=MAP4K3 PE=1 SV=1;>sp|Q8IVH8-3|M4K3_HUMAN Isoform 3 of Mitogen-activated protein kinase kinase kinase kinase 3 OS=Homo sapiens GN=MAP4K3;>sp|Q8IVH8-2|M4K3_HUMAN	MAP4K3	-0.4412818	NaN	NaN	NaN	0
Q9BQE3;F5H5D3;F8VVB9;F8VQQ4;F8VS66;F8VRZ4;F8VWV9;F8VX09;C9K0S6;F8VRK0;F8W0F6;F8VXZ7;Q9H853	Q9BQE3;F5H5D3	Tubulin alpha-1C chain	TUBA1C	>sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1;>tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1	TUBA1C	-0.4389917	-0.2632653	0.0425042	0.08624023	0
H0Y8R1;F5H5I6;H0YAK1;Q12849;Q12849-5;H0YAM1	H0Y8R1;F5H5I6;H0YAK1;Q12849;Q12849-5	G-rich sequence factor 1	GRSF1	>tr|H0Y8R1|H0Y8R1_HUMAN G-rich sequence factor 1 (Fragment) OS=Homo sapiens GN=GRSF1 PE=1 SV=1;>tr|F5H5I6|F5H5I6_HUMAN G-rich sequence factor 1 OS=Homo sapiens GN=GRSF1 PE=1 SV=2;>tr|H0YAK1|H0YAK1_HUMAN G-rich sequence factor 1 (Fragment) OS=Homo sapiens G	GRSF1	0.06060078	0.1218111	-0.1351106	-0.1541046	0
F5H5P2;P12694;P12694-2;F5GXU9;M0R0C8;F5H665;F8W6Q6;Q6ZNR0-4;Q6ZNR0-3;F5GWC9;Q6ZNR0-5;Q6ZNR0-2;Q6ZNR0;S4R3Y8;H0YH31	F5H5P2;P12694;P12694-2;F5GXU9	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	BCKDHA	">tr|F5H5P2|F5H5P2_HUMAN Uncharacterized protein OS=Homo sapiens PE=1 SV=1;>sp|P12694|ODBA_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens GN=BCKDHA PE=1 SV=2;>sp|P12694-2|ODBA_HUMAN Isoform 2 of 2-oxoisovalerate dehydrogen"	BCKDHA	0.2096405	-0.2008961	0.05810868	-0.1029455	0
P18440;F5H5R8	P18440;F5H5R8	Arylamine N-acetyltransferase 1	NAT1	>sp|P18440|ARY1_HUMAN Arylamine N-acetyltransferase 1 OS=Homo sapiens GN=NAT1 PE=1 SV=2;>tr|F5H5R8|F5H5R8_HUMAN Arylamine N-acetyltransferase 1 OS=Homo sapiens GN=NAT1 PE=1 SV=1	NAT1	NaN	NaN	NaN	-1.008218	0
Q7Z3V4-2;F5H5T5;Q7Z3V4	Q7Z3V4-2;F5H5T5;Q7Z3V4	Ubiquitin-protein ligase E3B	UBE3B	>sp|Q7Z3V4-2|UBE3B_HUMAN Isoform 2 of Ubiquitin-protein ligase E3B OS=Homo sapiens GN=UBE3B;>tr|F5H5T5|F5H5T5_HUMAN Ubiquitin-protein ligase E3B (Fragment) OS=Homo sapiens GN=UBE3B PE=1 SV=3;>sp|Q7Z3V4|UBE3B_HUMAN Ubiquitin-protein ligase E3B OS=Homo sapie	UBE3B	NaN	NaN	NaN	NaN	0
F5H5U2;Q8NHQ9;E7EX41;Q8NHQ9-2;F5H2I2;F5H735	F5H5U2;Q8NHQ9	ATP-dependent RNA helicase DDX55	DDX55	>tr|F5H5U2|F5H5U2_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens GN=DDX55 PE=1 SV=1;>sp|Q8NHQ9|DDX55_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens GN=DDX55 PE=1 SV=3	DDX55	-0.01890721	0.1491292	0.3833863	-0.06948218	0
G3V1U5;F5H6U7;Q9Y3E0	G3V1U5;F5H6U7;Q9Y3E0	Vesicle transport protein GOT1B	GOLT1B	">tr|G3V1U5|G3V1U5_HUMAN Golgi transport 1 homolog B (S. cerevisiae), isoform CRA_c OS=Homo sapiens GN=GOLT1B PE=4 SV=1;>tr|F5H6U7|F5H6U7_HUMAN Vesicle transport protein GOT1B OS=Homo sapiens GN=GOLT1B PE=1 SV=1;>sp|Q9Y3E0|GOT1B_HUMAN Vesicle transport prot"	GOLT1B	-0.5923536	-0.4285853	-0.3950937	-0.3208104	0
F5H702;Q96GC5-3;Q96GC5;F5H8D0	F5H702;Q96GC5-3;Q96GC5	"39S ribosomal protein L48, mitochondrial"	MRPL48	">tr|F5H702|F5H702_HUMAN 39S ribosomal protein L48, mitochondrial OS=Homo sapiens GN=MRPL48 PE=1 SV=1;>sp|Q96GC5-3|RM48_HUMAN Isoform 2 of 39S ribosomal protein L48, mitochondrial OS=Homo sapiens GN=MRPL48;>sp|Q96GC5|RM48_HUMAN 39S ribosomal protein L48, mi"	MRPL48	-0.9191785	NaN	-0.03116458	-0.1132704	0
F5H777;Q8N4S0-2;Q8N4S0	F5H777;Q8N4S0-2;Q8N4S0	Coiled-coil domain-containing protein 82	CCDC82	>tr|F5H777|F5H777_HUMAN Coiled-coil domain-containing protein 82 (Fragment) OS=Homo sapiens GN=CCDC82 PE=1 SV=1;>sp|Q8N4S0-2|CCD82_HUMAN Isoform 2 of Coiled-coil domain-containing protein 82 OS=Homo sapiens GN=CCDC82;>sp|Q8N4S0|CCD82_HUMAN Coiled-coil doma	CCDC82	NaN	NaN	NaN	NaN	0
F5H785;P0DI82;P0DI81;P0DI81-3	F5H785;P0DI82;P0DI81;P0DI81-3	Trafficking protein particle complex subunit 2 protein TRAPPC2P1;Trafficking protein particle complex subunit 2	TRAPPC2;TRAPPC2P1	>tr|F5H785|F5H785_HUMAN Trafficking protein particle complex subunit 2 OS=Homo sapiens GN=TRAPPC2 PE=1 SV=1;>sp|P0DI82|TPC2B_HUMAN Trafficking protein particle complex subunit 2 protein TRAPPC2P1 OS=Homo sapiens GN=TRAPPC2P1 PE=1 SV=1;>sp|P0DI81|TPC2A_HUMA	TRAPPC2;TRAPPC2P1	NaN	NaN	0.3126652	0.1082234	0.00030665
